trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
436,False,"{'a': 0.99, 'e': 0.0021041999831664}",25,18,11.496602174849953,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.99, 'e': 0.002094580795835973}",30,18,23.71288045134272,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.99, 'e': 0.0020850274181105476}",25,14,10.814940376459436,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.99, 'e': 0.002075539251041661}",20,13,13.095790287471019,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.99, 'e': 0.002066115702479339}",20,0,31.986864965232506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
441,False,"{'a': 0.99, 'e': 0.0020567561869797046}",25,18,14.06116851985909,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.99, 'e': 0.0020474601257140512}",20,16,6.924592379866659,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.99, 'e': 0.002038226946379344}",25,14,18.252765845027806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.99, 'e': 0.0020290560831101364}",25,17,16.537389364995242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.99, 'e': 0.0020199469763918696}",20,3,27.592378898298044,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.99, 'e': 0.002010899072975527}",20,16,7.112364956759674,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.99, 'e': 0.0020019118257936326}",30,16,23.576402907261418,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.99, 'e': 0.0019929846938775506}",20,6,27.006616269126532,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.99, 'e': 0.0019841171422760795}",30,18,22.247250131547847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.99, 'e': 0.0019753086419753087}",25,7,37.92054897434416,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.99, 'e': 0.0019665586698197155}",20,13,15.4929536613021,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.99, 'e': 0.0019578667084344894}",20,7,23.224991422707088,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.99, 'e': 0.0019492322461490475}",20,0,28.95571565916579,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.99, 'e': 0.001940654776921733}",20,14,12.824157141601011,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.99, 'e': 0.0019321338002656683}",25,8,30.800737685484833,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.99, 'e': 0.0019236688211757462}",35,21,25.102235633491205,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.99, 'e': 0.0019152593500567393}",20,11,20.797377781482595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.99, 'e': 0.0019069049026525045}",25,15,18.870543409271004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.99, 'e': 0.001898604999976267}",30,13,31.689517277104667,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.99, 'e': 0.001890359168241966}",20,10,19.13328055665184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.99, 'e': 0.0018821669387966366}",25,7,30.80375066394586,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.99, 'e': 0.001874027848053822}",20,6,28.463718688011692,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.99, 'e': 0.0018659414374279858}",20,10,0.5822710309329966,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
464,False,"{'a': 0.99, 'e': 0.0018579072532699163}",30,15,33.48472570969388,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.99, 'e': 0.0018499248468030985}",20,14,12.008452939190486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.99, 'e': 0.0018419937740610437}",25,13,22.86343776381695,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.99, 'e': 0.0018341135958255571}",20,9,18.60359855591526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.99, 'e': 0.0018262838775659287}",20,6,28.803109722305166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.99, 'e': 0.0018185041893790258}",20,0,35.790191795065454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
470,False,"{'a': 0.99, 'e': 0.0018107741059302852}",20,3,25.15702498321357,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.99, 'e': 0.0018030932063955714}",25,13,20.31860656937776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.99, 'e': 0.0017954610744039068}",20,16,7.8455548604805045,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.99, 'e': 0.0017878772979810391}",35,21,27.68501677936936,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.99, 'e': 0.0017803414694938485}",20,0,34.97648304646223,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
475,False,"{'a': 0.99, 'e': 0.0017728531855955678}",30,6,43.07549060286084,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.99, 'e': 0.0017654120471718097}",35,21,23.815567441599995,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.99, 'e': 0.0017580176592873872}",20,8,18.960382485754902,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.99, 'e': 0.0017506696311339082}",30,8,37.23482546095055,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.99, 'e': 0.001743367575978138}",25,12,24.785889462298822,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.99, 'e': 0.001736111111111111}",25,12,25.532040335801042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.99, 'e': 0.0017288998577979866}",20,6,23.433559302819898,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.99, 'e': 0.0017217334412286288}",30,17,24.38862817888385,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.99, 'e': 0.0017146114904689031}",25,7,29.25018326453926,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.99, 'e': 0.0017075336384126765}",25,12,23.21336981305832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.99, 'e': 0.0017004995217345096}",20,12,13.5117265090218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.99, 'e': 0.0016935087808430287}",30,12,38.26004180699784,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.99, 'e': 0.00168656105983497}",20,0,25.65099364557948,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
488,False,"{'a': 0.99, 'e': 0.0016796560064498787}",30,15,27.744133669713268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.99, 'e': 0.0016727932720254596}",25,12,22.212951359727988,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.99, 'e': 0.001665972511453561}",25,18,11.381027263617517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.99, 'e': 0.0016591933831367881}",30,15,29.78678207960073,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.99, 'e': 0.0016524555489457332}",25,3,37.33137229747119,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.99, 'e': 0.001645758674176812}",25,7,32.387120487917144,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.99, 'e': 0.0016391024275106947}",20,8,18.978187501522335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.99, 'e': 0.0016324864809713294}",30,17,23.810101490381594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.99, 'e': 0.0016259105098855356}",20,15,10.256366118547497,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.99, 'e': 0.0016193741928431757}",25,15,16.602831634010492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.99, 'e': 0.0016128772116578763}",20,9,18.079039309139855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.99, 'e': 0.0016064192513283075}",25,0,31.35516932730093,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
500,False,"{'a': 0.99, 'e': 0.0016}",20,16,5.927354087817441,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.99, 'e': 0.0015936191489276934}",20,4,4.272010973036721,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
502,False,"{'a': 0.99, 'e': 0.001587276392438215}",35,19,30.173129240982192,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.99, 'e': 0.001580971427893869}",20,9,18.69824905187821,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.99, 'e': 0.0015747039556563362}",30,10,32.53349169753757,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.99, 'e': 0.0015684736790510733}",20,9,18.52447355128624,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.99, 'e': 0.0015622803043322032}",20,8,25.434039716538507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.99, 'e': 0.0015561235406478919}",25,19,9.206219833207351,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.99, 'e': 0.0015500031000061998}",25,14,19.755520225083735,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.99, 'e': 0.001543918697241403}",25,12,23.564462268926405,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.99, 'e': 0.0015378700499807767}",20,15,7.070654519511093,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.99, 'e': 0.0015318568786118314}",30,17,28.014580019143384,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.99, 'e': 0.0015258789062499998}",25,19,9.469866868063773,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.99, 'e': 0.0015199358587067622}",30,17,25.121918136601693,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.99, 'e': 0.001514027464458205}",20,0,32.819666769784554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.99, 'e': 0.001508153454614007}",30,8,40.289136147799894,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.99, 'e': 0.0015023135628868456}",30,21,19.200963052185564,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.99, 'e': 0.001496507525562219}",20,12,16.42952133837328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.99, 'e': 0.001490735081468672}",25,15,23.065548988611393,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.99, 'e': 0.0014849959719484258}",20,2,29.570295089347518,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.99, 'e': 0.0014792899408284023}",25,11,24.566542860350758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.99, 'e': 0.0014736167343916357}",25,13,25.581849569918198,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.99, 'e': 0.00146797610134907}",30,2,48.87072261760667,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.99, 'e': 0.001462367792811731}",20,11,15.564061797245152,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.99, 'e': 0.001456791562263271}",20,0,29.934101410169003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
525,False,"{'a': 0.99, 'e': 0.0014512471655328798}",30,12,34.97823419610249,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.99, 'e': 0.0014457343607685524}",20,10,20.65458420713463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.99, 'e': 0.0014402529084107168}",30,12,34.73001652958966,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.99, 'e': 0.0014348025711662072}",20,9,21.4790977010248,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.99, 'e': 0.0014293831139825825}",25,11,26.696348863224408,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.99, 'e': 0.001423994304022784}",20,10,19.426872279822458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.99, 'e': 0.001418635910640124}",25,16,14.005129641516437,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.99, 'e': 0.0014133077053536094}",20,8,22.933142472716312,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.99, 'e': 0.0014080094618235833}",20,0,29.239876131160933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.99, 'e': 0.0014027409558276872}",25,13,23.600834578380123,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.99, 'e': 0.0013975019652371387}",20,0,32.94004197485677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
536,False,"{'a': 0.99, 'e': 0.001392292269993317}",25,8,28.37559555972461,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.99, 'e': 0.0013871116520846553}",20,13,13.75119296138735,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.99, 'e': 0.0013819598955238316}",25,13,22.0375372474362,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.99, 'e': 0.0013768367863252568}",25,9,26.475367822696853,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.99, 'e': 0.0013717421124828531}",30,21,18.312178626459637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.99, 'e': 0.001366675663948121}",30,17,25.85623471638089,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.99, 'e': 0.0013616372326084882}",25,11,24.674267206530995,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.99, 'e': 0.0013566266122659394}",20,0,38.955983205935254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
544,False,"{'a': 0.99, 'e': 0.0013516435986159166}",25,7,30.45608647589127,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.99, 'e': 0.0013466879892264961}",20,1,32.824092189850504,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.99, 'e': 0.001341759583517825}",30,18,21.43431599514085,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.99, 'e': 0.0013368581827418293}",35,8,52.205853425991464,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.99, 'e': 0.0013319835899621715}",25,0,44.14523728569862,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
549,False,"{'a': 0.99, 'e': 0.001327135610034472}",20,7,-19.977922105259093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
550,False,"{'a': 0.99, 'e': 0.001322314049586777}",25,5,32.91969418575362,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.99, 'e': 0.0013175187170002733}",30,20,17.523296418665172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.99, 'e': 0.001312749422390254}",25,9,27.83921585861244,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.99, 'e': 0.0013080059775873174}",25,19,12.282078251659629,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.99, 'e': 0.0013032881961188075}",20,0,35.21977743955885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
555,False,"{'a': 0.99, 'e': 0.0012985958931904878}",25,13,19.406661110560687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.99, 'e': 0.0012939288856684437}",20,14,9.40925965864535,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.99, 'e': 0.0012892869920612152}",30,8,40.11530991740728,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.99, 'e': 0.0012846700325021517}",20,0,32.959965327305945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
559,False,"{'a': 0.99, 'e': 0.0012800778287319866}",20,9,21.19542236644083,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.99, 'e': 0.0012755102040816326}",30,8,33.32428006337777,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.99, 'e': 0.0012709669834551872}",30,0,37.96500962389774,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
562,False,"{'a': 0.99, 'e': 0.0012664479933131544}",25,8,-48.311421569497384,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
563,False,"{'a': 0.99, 'e': 0.0012619530616558715}",25,14,-18.536753534889584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
564,False,"{'a': 0.99, 'e': 0.0012574820180071423}",30,20,19.77526461208719,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.99, 'e': 0.0012530346933980734}",25,13,21.793860008546382,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.99, 'e': 0.0012486109203511092}",20,0,31.179193919448018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
567,False,"{'a': 0.99, 'e': 0.0012442105328642659}",25,10,28.436317359554423,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.99, 'e': 0.0012398333663955561}",20,8,19.51389394779049,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.99, 'e': 0.0012354792578476096}",30,10,35.010810329053086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.99, 'e': 0.0012311480455524776}",30,22,13.667470976395748,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.99, 'e': 0.001226839569256627}",25,20,10.746985160638442,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.99, 'e': 0.0012225536701061177}",20,14,12.049923585755906,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.99, 'e': 0.0012182901906319574}",25,10,25.123465488742795,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.99, 'e': 0.0012140489747356406}",20,8,24.034171052082495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.99, 'e': 0.0012098298676748581}",20,12,13.228261055189822,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.99, 'e': 0.0012056327160493826}",20,6,28.11647155174783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.99, 'e': 0.0012014573677871256}",20,9,19.355415605114835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.99, 'e': 0.0011973036721303623}",25,5,38.971776346778014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.99, 'e': 0.0011931714796221222}",30,23,11.061829336675551,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.99, 'e': 0.0011890606420927466}",20,13,15.130749625114802,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
581,False,"{'a': 0.99, 'e': 0.001184971012646603}",20,0,27.622188704314834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
582,False,"{'a': 0.99, 'e': 0.001180902445648965}",20,10,18.759584685607997,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.99, 'e': 0.0011768547967130445}",20,13,13.288528742808234,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
584,False,"{'a': 0.99, 'e': 0.001172827922687183}",25,5,28.921833824342336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.99, 'e': 0.0011688216816421945}",20,8,15.995500282381766,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.99, 'e': 0.001164835932858857}",30,0,46.581124055879954,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
587,False,"{'a': 0.99, 'e': 0.0011608705368155578}",25,0,39.90966218851106,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
588,False,"{'a': 0.99, 'e': 0.001156925355176084}",20,15,8.946598674425196,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.99, 'e': 0.0011530002507775545}",25,11,25.190009478154693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.99, 'e': 0.0011490950876185005}",25,13,18.720825459982876,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.99, 'e': 0.0011452097308470828}",25,16,13.598233060178067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.99, 'e': 0.001141344046749452}",20,9,17.319131086961672,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.99, 'e': 0.0011374979027382417}",20,9,23.123247740875623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.99, 'e': 0.0011336711673412007}",20,0,24.665694885564573,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
595,False,"{'a': 0.99, 'e': 0.0011298637101899583}",20,6,27.482111563123766,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.99, 'e': 0.0011260754020089184}",20,6,26.51682390597409,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.99, 'e': 0.001122306114604289}",20,0,-14.774233970533368,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
598,False,"{'a': 0.99, 'e': 0.0011185557208532341}",25,15,18.675668620654584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.99, 'e': 0.0011148240946931584}",20,1,32.83676461644769,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.99, 'e': 0.0011111111111111111}",20,3,27.57066315574723,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.99, 'e': 0.0011074166461333163}",20,7,23.762743075693788,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.99, 'e': 0.0011037405768148253}",25,9,26.514352658888665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.99, 'e': 0.0011000827812292873}",20,0,20.232303283465594,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
604,False,"{'a': 0.99, 'e': 0.0010964431384588393}",30,0,31.10058116001043,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
605,False,"{'a': 0.99, 'e': 0.001092821528584113}",20,10,19.80273236652998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.99, 'e': 0.0010892178326743565}",25,14,18.96030261418271,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.99, 'e': 0.0010856319327776707}",25,5,30.626587169161947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.99, 'e': 0.0010820637119113572}",20,13,7.506759678379795,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.99, 'e': 0.0010785130540523777}",20,4,25.950825587716654,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.99, 'e': 0.0010749798441279225}",20,6,23.96432948895462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.99, 'e': 0.0010714639680060858}",25,8,29.14813858516143,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.99, 'e': 0.0010679653124866502}",30,11,37.738473396750834,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.99, 'e': 0.0010644837652919745}",25,6,31.21506554894333,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
614,False,"{'a': 0.99, 'e': 0.0010610192150579845}",20,15,7.898524850220342,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.99, 'e': 0.0010575715513252693}",20,0,31.193183395913625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
616,False,"{'a': 0.99, 'e': 0.0010541406645302748}",25,0,0.28598910721029136,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
617,False,"{'a': 0.99, 'e': 0.0010507264459966009}",20,12,14.830409012470252,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.99, 'e': 0.0010473287879263935}",25,16,15.203870766126112,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.99, 'e': 0.0010439475833918378}",20,12,12.835722831494039,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
