trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.99, 'e': 0.2163331530557058}",20,10,6.2020814306402094,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.99, 'e': 0.20661157024793386}",30,13,31.385653037438725,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.99, 'e': 0.19753086419753085}",25,16,15.980602589375199,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.99, 'e': 0.18903591682419657}",20,6,-6.842267200372429,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.99, 'e': 0.18107741059302848}",30,15,-92.35180200063387,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
48,False,"{'a': 0.99, 'e': 0.17361111111111108}",20,0,0.2926345324284556,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.99, 'e': 0.16659725114535606}",25,2,33.94578522992374,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.99, 'e': 0.16}",20,7,-21.659674271776453,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
51,False,"{'a': 0.99, 'e': 0.15378700499807763}",20,13,12.79100406488045,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.99, 'e': 0.14792899408284022}",25,0,-57.869238024132606,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.99, 'e': 0.14239943040227834}",35,15,36.44015391960968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.99, 'e': 0.1371742112482853}",20,8,7.7847945761393955,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.99, 'e': 0.1322314049586777}",25,14,7.938744131213506,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.99, 'e': 0.12755102040816324}",25,12,19.007372085693348,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.99, 'e': 0.12311480455524776}",25,13,18.158888946835702,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.99, 'e': 0.11890606420927465}",25,6,32.60674050737611,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.99, 'e': 0.11490950876185003}",20,13,7.422302388293823,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.99, 'e': 0.1111111111111111}",20,0,-8.82874211303391,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.99, 'e': 0.10749798441279224}",25,10,-15.719104776905375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.99, 'e': 0.10405827263267428}",20,5,-35.90356269074536,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",1
63,False,"{'a': 0.99, 'e': 0.10078105316200552}",35,17,18.29611979433266,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.99, 'e': 0.09765624999999999}",20,0,13.561053295486753,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.99, 'e': 0.09467455621301775}",30,4,13.154490419979085,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.99, 'e': 0.09182736455463726}",25,3,34.15146907437741,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.99, 'e': 0.08910670527957229}",30,2,-10.06431176406729,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.99, 'e': 0.08650519031141866}",20,3,21.408407929764547,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.99, 'e': 0.08401596303297626}",30,19,22.474246518400758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.99, 'e': 0.08163265306122448}",20,0,-15.032097848730611,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.99, 'e': 0.07934933544931559}",35,11,-7.599380656759228,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.07716049382716049}",20,8,23.317383301722284,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.99, 'e': 0.07506098705197971}",25,15,18.14432935792445,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.99, 'e': 0.07304601899196493}",20,0,3.406179535871766,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.99, 'e': 0.07111111111111111}",30,19,21.40354992939705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.99, 'e': 0.06925207756232686}",30,20,20.373060350726345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.99, 'e': 0.06746500252993759}",25,0,29.055476203321174,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.99, 'e': 0.06574621959237342}",25,11,21.57583749422448,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.99, 'e': 0.06409229290177856}",25,11,21.698345485394512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.99, 'e': 0.0625}",25,17,7.117076534251331,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.99, 'e': 0.060966316110349035}",20,0,27.039311114813312,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.99, 'e': 0.05948839976204638}",20,9,13.251777769846361,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.99, 'e': 0.05806357961968354}",20,0,-35.80099657514087,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
84,False,"{'a': 0.99, 'e': 0.056689342403628114}",20,13,14.083746144218395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.05536332179930796}",25,15,18.049935081173597,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.99, 'e': 0.05408328826392645}",20,0,-4.912573217312749,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
87,False,"{'a': 0.99, 'e': 0.052847139648566514}",20,0,31.66443320828451,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.99, 'e': 0.051652892561983466}",20,8,13.324336219446373,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.99, 'e': 0.05049867440979674}",20,0,-17.249182319791288,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.99, 'e': 0.04938271604938271}",25,3,15.108787637589598,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.99, 'e': 0.04830334500664172}",20,13,10.798649530128236,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.04725897920604914}",20,6,25.187909828462193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.04624812117007746}",20,6,-15.059061797925946,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.99, 'e': 0.04526935264825712}",25,7,23.04525328611812,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.99, 'e': 0.0443213296398892}",25,0,35.87070421583252,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.99, 'e': 0.04340277777777777}",20,0,29.790310902425247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.99, 'e': 0.04251248804336273}",20,16,5.657056720485595,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.99, 'e': 0.041649312786339016}",30,5,-15.503244750219265,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.99, 'e': 0.040812162024283234}",25,0,25.848860611338363,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.99, 'e': 0.04}",25,13,17.938645225375677,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.99, 'e': 0.03921184197627682}",25,0,-49.38366266526914,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
102,False,"{'a': 0.99, 'e': 0.038446751249519406}",30,4,17.647454221426347,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.99, 'e': 0.03770383636535017}",20,2,28.50658284964966,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.99, 'e': 0.036982248520710054}",30,0,30.22895201040711,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.99, 'e': 0.036281179138321996}",20,14,12.608999603592284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.99, 'e': 0.035599857600569586}",25,15,16.39092039482118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.99, 'e': 0.03493754913092846}",20,10,18.19030656417661,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.99, 'e': 0.034293552812071325}",20,0,9.73462938143833,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.99, 'e': 0.0336671997306624}",25,0,32.04724459100735,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.99, 'e': 0.03305785123966942}",25,3,35.33376943798521,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.99, 'e': 0.03246489732976218}",20,9,-21.121241653164887,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.99, 'e': 0.03188775510204081}",20,16,5.2086592975889605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.99, 'e': 0.03132586733495183}",30,17,24.11412671920748,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.99, 'e': 0.03077870113881194}",20,0,30.72792717144172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.99, 'e': 0.030245746691871456}",20,12,15.640863748826145,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.99, 'e': 0.02972651605231866}",20,11,7.495562376809501,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.99, 'e': 0.02922054204105486}",25,9,15.930021959962303,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.99, 'e': 0.02872737719046251}",20,14,9.311794665825737,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.99, 'e': 0.028246592754748955}",30,17,25.582422005682833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.99, 'e': 0.027777777777777776}",25,9,29.22109738743287,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.99, 'e': 0.027320538214602823}",20,6,-30.919461517184644,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.99, 'e': 0.02687449610319806}",20,0,34.91683103933132,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.99, 'e': 0.02643928878313173}",20,11,11.393464616321204,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.99, 'e': 0.02601456815816857}",20,3,16.278955337309718,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.99, 'e': 0.0256}",20,1,28.056729834533755,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.99, 'e': 0.02519526329050138}",20,2,20.161525532525697,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.99, 'e': 0.024800049600099197}",20,9,22.035751791235544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.99, 'e': 0.024414062499999997}",20,0,-7.025584420665563,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
